text_encoder.model.layers.32.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.32.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.32.post_attention_layernorm.weight,4096
text_encoder.model.layers.32.self_attn.k_norm.weight,128
text_encoder.model.layers.32.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.32.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.32.self_attn.q_norm.weight,128
text_encoder.model.layers.32.self_attn.q_proj.weight,4096,4096
text_encoder.model.layers.32.self_attn.v_proj.weight,1024,4096
text_encoder.model.layers.33.input_layernorm.weight,4096
text_encoder.model.layers.33.mlp.down_proj.weight,4096,12288
text_encoder.model.layers.33.mlp.gate_proj.weight,12288,4096
text_encoder.model.layers.33.mlp.up_proj.weight,12288,4096
text_encoder.model.layers.33.post_attention_layernorm.weight,4096
text_encoder.model.layers.33.self_attn.k_norm.weight,128
text_encoder.model.layers.33.self_attn.k_proj.weight,1024,4096
text_encoder.model.layers.33.self_attn.o_proj.weight,4096,4096
text_encoder.model.layers.33.self_attn.q_norm.weight,128
text_encoder.model.layers.33.self_attn.q_proj.weight,4096,4096
